[2026-02-05 21:46:53.458636] JOB_ID=1 | MEDIA_ID=10683229 | RULE=TIME_LIMIT_1080p| RUNTIME=2186p | LIMIT=60p | EXCEED=+2126p
[2026-02-05 21:47:55.493827] JOB_ID=1 | MEDIA_ID=10683229 | RULE=TIME_LIMIT_1080p| RUNTIME=2187p | LIMIT=60p | EXCEED=+2127p
[2026-02-06 21:18:02.368506] JOB_ID=1 | MEDIA_ID=10683229 | RULE=TIME_LIMIT_1080p| RUNTIME=3597p | LIMIT=45p | EXCEED=+3552p
[2026-02-06 21:30:51.023897] JOB_ID=1 | MEDIA_ID=10683229 | RULE=TIME_LIMIT_1080p| RUNTIME=3610p | LIMIT=45p | EXCEED=+3565p
[2026-02-06 21:31:52.654133] JOB_ID=1 | MEDIA_ID=10683229 | RULE=TIME_LIMIT_1080p| RUNTIME=3611p | LIMIT=45p | EXCEED=+3566p
[2026-02-06 21:33:27.850654] JOB_ID=1 | MEDIA_ID=10683229 | RULE=TIME_LIMIT_1080p| RUNTIME=3612p | LIMIT=45p | EXCEED=+3567p
[2026-02-06 22:41:19.061500] JOB_ID=1 | MEDIA_ID=10683229 | RULE=TIME_LIMIT_1080p | RUNTIME=3680p | LIMIT=30p | EXCEED=+3650p
[2026-02-06 22:42:20.753177] JOB_ID=1 | MEDIA_ID=10683229 | RULE=TIME_LIMIT_1080p | RUNTIME=3681p | LIMIT=30p | EXCEED=+3651p
[2026-02-09 22:26:55.038670] JOB_ID=1 | MEDIA_ID=10683229 | RULE=TIME_LIMIT_1080p | RUNTIME=7566p | LIMIT=30p | EXCEED=+7536p
[2026-02-09 22:27:53.512384] JOB_ID=1 | MEDIA_ID=10683229 | RULE=TIME_LIMIT_1080p | RUNTIME=7567p | LIMIT=30p | EXCEED=+7537p
[2026-02-09 22:30:56.633321] JOB_ID=1 | MEDIA_ID=10683229 | RULE=TIME_LIMIT_1080p | RUNTIME=7570p | LIMIT=60p | EXCEED=+7510p
[2026-02-09 22:31:55.996896] JOB_ID=1 | MEDIA_ID=10683229 | RULE=TIME_LIMIT_1080p | RUNTIME=7571p | LIMIT=60p | EXCEED=+7511p
