2026-02-06 22:41:09,149 | INFO | MySQLPool | Initializing MySQL connection pool
2026-02-06 22:41:17,474 | INFO | MySQLPool | Initializing success 
2026-02-06 22:41:17,475 | INFO | MonitorService | Encode Monitor Service started
2026-02-06 22:41:19,060 | INFO | MonitorService | 1 running jobs
2026-02-06 22:41:19,061 | INFO | MonitorService | Found job1 time out
2026-02-06 22:41:19,061 | INFO | MonitorService | Scan completed, sleeping 60s...

2026-02-06 22:42:20,752 | INFO | MonitorService | 1 running jobs
2026-02-06 22:42:20,752 | INFO | MonitorService | Found job1 time out
2026-02-06 22:42:20,753 | INFO | MonitorService | Scan completed, sleeping 60s...

2026-02-06 22:42:29,364 | INFO | MonitorService | 
Service stopped
2026-02-09 22:19:55,814 | INFO | MySQLPool | Initializing MySQL connection pool
2026-02-09 22:20:04,223 | INFO | MySQLPool | Initializing success 
2026-02-09 22:20:04,223 | INFO | MonitorService | Encode Monitor Service started
2026-02-09 22:20:06,039 | INFO | MonitorService | 1 running jobs
2026-02-09 22:20:06,040 | INFO | MonitorService | Scan completed, sleeping 60s...

2026-02-09 22:21:07,628 | INFO | MonitorService | 1 running jobs
2026-02-09 22:21:07,628 | INFO | MonitorService | Scan completed, sleeping 60s...

2026-02-09 22:22:09,234 | INFO | MonitorService | 1 running jobs
2026-02-09 22:22:09,235 | INFO | MonitorService | Scan completed, sleeping 60s...

2026-02-09 22:23:10,885 | INFO | MonitorService | 1 running jobs
2026-02-09 22:23:10,886 | INFO | MonitorService | Scan completed, sleeping 60s...

2026-02-09 22:23:28,218 | INFO | MonitorService | 
Service stopped
2026-02-09 22:23:28,218 | INFO | Main | Releasing resources
2026-02-09 22:23:28,218 | INFO | MySQLPool | Closing MySQL pool
2026-02-09 22:23:30,450 | INFO | MySQLPool | Initializing MySQL connection pool
2026-02-09 22:23:39,112 | INFO | MySQLPool | Initializing success 
2026-02-09 22:23:39,112 | INFO | MonitorService | Encode Monitor Service started
2026-02-09 22:23:40,817 | INFO | MonitorService | 1 running jobs
2026-02-09 22:23:40,818 | INFO | MonitorService | Scan completed, sleeping 60s...

2026-02-09 22:24:02,968 | INFO | MonitorService | 
Service stopped
2026-02-09 22:24:02,969 | INFO | Main | Releasing resources
2026-02-09 22:24:02,969 | INFO | MySQLPool | Closing MySQL pool
2026-02-09 22:26:45,137 | INFO | MySQLPool | Initializing MySQL connection pool
2026-02-09 22:26:53,402 | INFO | MySQLPool | Initializing success 
2026-02-09 22:26:53,403 | INFO | MonitorService | Encode Monitor Service started
2026-02-09 22:26:55,037 | INFO | MonitorService | 1 running jobs
2026-02-09 22:26:55,038 | INFO | MonitorService | Found job1 time out
2026-02-09 22:26:55,038 | INFO | MonitorService | Scan completed, sleeping 60s...

2026-02-09 22:27:41,564 | INFO | MonitorService | 
Service stopped
2026-02-09 22:27:41,564 | INFO | Main | Releasing resources
2026-02-09 22:27:41,564 | INFO | MySQLPool | Closing MySQL pool
2026-02-09 22:27:43,577 | INFO | MySQLPool | Initializing MySQL connection pool
2026-02-09 22:27:51,899 | INFO | MySQLPool | Initializing success 
2026-02-09 22:27:51,900 | INFO | MonitorService | Encode Monitor Service started
2026-02-09 22:27:53,511 | INFO | MonitorService | 1 running jobs
2026-02-09 22:27:53,512 | INFO | MonitorService | Found job1 time out
2026-02-09 22:27:53,512 | INFO | MonitorService | Scan completed, sleeping 60s...

2026-02-09 22:27:56,742 | INFO | MonitorService | 
Service stopped
2026-02-09 22:27:56,743 | INFO | Main | Releasing resources
2026-02-09 22:27:56,743 | INFO | MySQLPool | Closing MySQL pool
2026-02-09 22:30:46,630 | INFO | MySQLPool | Initializing MySQL connection pool
2026-02-09 22:30:54,987 | INFO | MySQLPool | Initializing success 
2026-02-09 22:30:54,987 | INFO | MonitorService | Encode Monitor Service started
2026-02-09 22:30:56,632 | INFO | MonitorService | 1 running jobs
2026-02-09 22:30:56,632 | INFO | MonitorService | Found job1 time out
2026-02-09 22:30:56,632 | INFO | MonitorService | Scan completed, sleeping 60s...

2026-02-09 22:31:14,244 | INFO | MonitorService | 
Service stopped
2026-02-09 22:31:14,245 | INFO | Main | Releasing resources
2026-02-09 22:31:14,245 | INFO | MySQLPool | Closing MySQL pool
2026-02-09 22:31:45,789 | INFO | MySQLPool | Initializing MySQL connection pool
2026-02-09 22:31:54,287 | INFO | MySQLPool | Initializing success 
2026-02-09 22:31:54,287 | INFO | MonitorService | Encode Monitor Service started
2026-02-09 22:31:55,995 | INFO | MonitorService | 1 running jobs
2026-02-09 22:31:55,996 | INFO | MonitorService | Found job1 time out
2026-02-09 22:31:55,996 | INFO | MonitorService | Scan completed, sleeping 60s...

2026-02-09 22:31:59,407 | INFO | MonitorService | 
Service stopped
2026-02-09 22:31:59,408 | INFO | Main | Releasing resources
2026-02-09 22:31:59,408 | INFO | MySQLPool | Closing MySQL pool
